Num Clients,Max Depth,F1,AUC,RA (F-TP),RA
3,3,0.207407,0.766351,74.53,84.91
3,4,0.2,0.763629,75.79,86.47
3,5,0.208696,0.766412,77.27,85.99
3,6,0.110092,0.767217,77.29,87.63
3,7,0.12963,0.768454,78.59,85.85
3,8,0.108108,0.769443,79.03,87.56
5,3,0.207407,0.766351,73.61,84.99
5,4,0.168067,0.74833,72.99,84.89
5,5,0.0952381,0.735113,74.02,84.65
5,6,0.0851064,0.750392,75.11,85.98
5,7,0.105263,0.74901,75.16,85.41
5,8,0.102041,0.759443,75.70,84.02
10,3,0.207407,0.766351,73.61,85.37
10,4,0.169492,0.748701,72.97,84.92
10,5,0.0970874,0.739546,74.05,85.39
10,6,0.0792079,0.744701,75.12,85.45
10,7,0.105263,0.751938,75.12,85.31
10,8,0.0990099,0.758763,75.77,85.12
20,3,0.217391,0.768412,73.59,85.75
20,4,0.169492,0.748701,72.97,83.76
20,5,0.145455,0.736887,74.06,85.45
20,6,0.06,0.74833,75.11,84.68
20,7,0.0990099,0.746,75.10,85.19
20,8,0.10101,0.756887,75.63,83.97
30,3,0.217391,0.768412,73.59,84.74
30,4,0.145161,0.748103,72.96,84.57
30,5,0.0740741,0.737794,74.06,83.74
30,6,0.107527,0.743753,75.12,86.02
30,7,0.12,0.747196,75.11,84.74
30,8,0.08,0.755113,75.77,85.77
