Depth,System,Accuracy,Train F1,Train AUC,Baseline Accuracy
3,Flower XGBoost Bagging,76.0,0.21346326478722688,0.7547,72.01
3,Flower XGBoost Cyclic,73.05,0.23710877948166081,0.7478,69.74
3,FedTree,84.91,0.207407,0.766351,74.53
3,FedXGBLLR,84.28,0.2149,0.6354,74.54
3,NVFlare,85.93,0.16541,0.76694,74.28
4,Flower XGBoost Bagging,80.33,0.21545192894039372,0.7501333333333333,74.78
4,Flower XGBoost Cyclic,79.9,0.1566893424036281,0.7381666666666667,72.48
4,FedTree,86.47,0.2,0.763629,75.79
4,FedXGBLLR,85.9,0.2178,0.6281,75.93
4,NVFlare,86.86,0.20292,0.77388,75.9
5,Flower XGBoost Bagging,77.02,0.18460886515806424,0.7504666666666665,75.89
5,Flower XGBoost Cyclic,80.57,0.1582576596530085,0.7312,75.22
5,FedTree,85.99,0.208696,0.766412,77.27
5,FedXGBLLR,87.47,0.1826,0.6197,76.41
5,NVFlare,85.9,0.20261,0.76651,76.35
6,Flower XGBoost Bagging,80.97,0.17623604465709727,0.7459,76.13
6,Flower XGBoost Cyclic,79.51,0.16221119838317025,0.7598,76.21
6,FedTree,87.63,0.110092,0.767217,77.29
6,FedXGBLLR,85.85,0.1567,0.6172,77.54
6,NVFlare,83.66,0.16381,0.77462,76.85
7,Flower XGBoost Bagging,82.24,0.13825222396650969,0.7312333333333333,76.99
7,Flower XGBoost Cyclic,83.33,0.17592952923963376,0.7342333333333333,76.55
7,FedTree,85.85,0.12963,0.768454,78.59
7,FedXGBLLR,86.53,0.1055,0.6076,78.4
7,NVFlare,82.07,0.10333,0.74402,77.06
8,Flower XGBoost Bagging,82.63,0.16049993585866915,0.7513,78.7
8,Flower XGBoost Cyclic,82.98,0.15794645050356176,0.7089333333333334,77.74
8,FedTree,87.56,0.108108,0.769443,79.03
8,FedXGBLLR,85.64,0.0973,0.6137,79.19
8,NVFlare,82.8,0.12768,0.76099,76.8
